법률분류,기본질문,기본답변
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,주민등록번호의 정정,"가족관계등록예규 제508호에 따라 그 정정절차에 관해서는 주민등록번호의 기록 누락규정을 준용하는바, 본인 또는 동거하는 친족이 주민등록표 등ㆍ초본을 첨부하여 그 기록을 신청하는 때에는 가족관계등록공무원은 감독법원의 허가 없이 직권으로 이를 기록합니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,직권에 의한 정정사유에 해당하는지,"등록부의 기록이 신청인의 과오나 시 구 읍면장의 과오로 법률상 무효인 것이거나 그 기록에 착오 도는 누락이 있는 것이 아니므로, 직권정정의 사유는 아니라고 판단됩니다. "
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅲ.판결에의한등록부정정,사망한 의부(계부)의 친생자로 신고 된 경우의 실제 친부의 성으로 가족관계등록부를 정정할 수 있는지,"의부를 상대방으로 하여 친생자관계부존재확인의 소를 제기해볼 수 있었으나, 「민법」 제865조 제2항에서 당사자 일방이 사망한 때에는 그 사망을 안 날로부터 2년 내에 검사를 상대로 제기하여야 한다고 규정하고 있으므로 가족관계등록부상 부로 등재된 의부에 대하여는 제소할 수 있는 기간이 이미 경과하여 위 소송은 불가능합니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅲ.판결에의한등록부정정,친모가 아닌 자가 가족관계등록부상에 모로 되어 있는 경우 가족관계등록부 정정방법은,"친모가 아닌 자와 자녀 사이에서는 친생자관계가 성립할 수 없습니다. 이에 친모는 가족등록부상 모를 대상으로 친생자관계부존재확인소송을 통해서  등록부상 모와 자녀 사이에 친모자관계가 성립되지 않는다는 판결을 받을 수 있습니다. 이후 시·읍·면의 장에게 위 판결의 등본 및 확정증명서 등을 첨부하여 가족관계등록부의 정정을 신청하면 가족관계등록부를 정정할 수 있습니다. (가족관계의 등록 등에 관한 법률 제107조, 가족관계등록예규 제300호)."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅲ.판결에의한등록부정정,친생추정을 받는 혼외자에 대하여 가족관계등록부상의 부가 가족관계등록부를 정정 방법은,"부자관계를 단절하기 위해서는 민법상 친생부인의 소 등을 제기하여 판결을 받고, 가족관계등록법 제107조에 따라 확정판결에 의한 등록부의 정정을 하면 됩니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅲ.판결에의한등록부정정,혼외자의 경우 정정방법,"부자관계를 단절하기 위해서는 민법상 친생부인의 소 등을 제기하여 판결을 받고, 가족관계등록법 제107조에 따라 확정판결에 의한 등록부의 정정을 하면 됩니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅲ.판결에의한등록부정정,혼인외 출생자의 모의 이름을 생모로 정정하는 절차,"가족관계 등록부상 모와 자녀 사이에 친생자 관계가 부존재 한다”는 법원(피고의 주소지 관할 법원)의 판결을 받아 그 판결등본 및 확정증명원을 첨부하여 시(구)·읍·면사무소에 가족관계등록부정정신청을 할 수 있습니다.(민법 제865조, 가족관계의 등록 등에 관한 법률 제107조 참조)."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,가족관계등록부 정정에 관련한 문의,"(1) 정정할 자의 기본증명서 1통, 가족관계증명서 1통, 제적등본(최초로 작성된 것)1통, 주민등록등본 1통   (2) (1)의 서류가 준비되면 등록기준지 관할 법원에 등록부정정신청을 하면 됩니다.   (3) 소명자료 : 출생 당시 병원에서 발급한 출생증명서, 조산일지 등 진실한 출생연월일을 증명할 객관적 자료   (4) 비용 : 송달료 6회분, 수입인지 1,000원   (5) 법원에 등록부정정허가신청을 하여 허가결정을 받은 다음, 그 허가결정등본을 송달받은 날로부터 1개월 이 내에 등록기준지, 주소지, 현재지의 시(구)·읍·면사무소 등록부정정신고를 하면 됩니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,가족관계등록부상 출생일자가 잘못 기재된 경우 정정 방법은 ?,"가족관계등록부상 출생일자가 잘못 기재된 경우에 출생일자를 정정하려면먼저 등록기준지 관할법원의 등록부 정정허가를 얻어야 하며, 법원의 허가를얻은 다음에는 1개월 이내에 허가서등본을 첨부하여 시(구)/읍/면의 장에게등록부 정정신청을 하여야 합니다(가족관계의 등록 등에 관한 법률 제104조, 106조).  구 호적선례는 “호적부에 기재되어 있는 출생연월일이 출생신고의 잘못으로실제와 달리 기재되어 있는 경우 사건본인을 비롯한 이해관계인은 호적기재가실제와 다름을 증명하는 서면을 첨부하여 그 호적이 있는 지(地)를 관할하는법원으로부터 호적정정의 허가를 얻어 호적정정신청을 함으로써 호적의 기재를실제와 같이 정정할 수 있을 것이나, 어떠한 서면이 그러한 사실을 증명함에족한 서면인지 여부에 대하여는 당해 재판절차에서 판단할 사항이다.”라고하였습니다(1993. 2. 15. 호적선례3-513). 그러므로 법원으로부터 출생일자의정정허가를 얻으려면 당사자의 주장만으로는 불가능하고, 여러 가지 자료에 의해실제 출생일자가 가족관계등록부상의 출생일자와 다르다는 것을 입증하여야합니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,가족관계등록부에 기재된 주민등록번호와 주민등록등본에 기재된 주민등록번호가 다를 경우 정정할 수 있는 방법은 무엇인가요?,"가족관계등록부상의 주민등록번호 앞자리가 다른 경우라면 이는 출생연월일을 의미하므로 이를 고치기 위해서는 사건본인의 등록기준지를 관할하는 법원에 아래 서류를 첨부하여 가족관계등록부정정(연령정정)허가 신청을 하여야 합니다.              -첨부서류-      *사건본인의 기본증명서, 가족관계증명서, 제적등본(최초 작성된 것) 각 1통      *사건본인의 주민등록등본 1통      *송달료(6회분), 인지 1,000원      *참고자료(정정할 연령이 기재된 출생증명서, 학적부, 졸업증명서, 생활기록부 등)"
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,가족관계등록이 편제된 미아가 부모를 찾은 경우 가족관계등록부정리,대법원 가족관계등록예규 제105호는 “기아 아닌 고아 등이 부모를 찾은 경우에는 가족관계의 등록 등에 관한 법률 제104조에 따른 등록부정정절차를 취하여야 한다.”라고 규정하고 있습니다.따라서 출생신고가 되어 있지 않다면 부모의 출생신고 후 법원으로부터 가족관계등록부 정정허가를 받아 등록부 정정신청을 함으로써 올바르게 가족관계등록부를 정리할 수 있습니다.
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,가족관계등록창설허가(가족관계등록부정정허가)를 받은 사람이 사망한경우,가족관계등록예규 제213호에 따르면 사망한 자의 배우자 또는 직계혈족이 가족관계등록창설신고(가족관계등록부정정신고)를 하여야 합니다.
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,"甲과 망인 乙은 법률상 부부였습니다. 甲은 그가 다니는 직장에서 가족수당을 더 받기 위하여 허무인 丙이 1985. 3. 3. 출생한 것으로 허위의 출생신고를 하였습니다. 퇴직한 甲은 丙이 실재하지 않는 허무인이므로 잘못된 가족관계등록부를 정정하기 위하여 甲과 丙 사이에, 망인 乙과 丙 사이에 각 친생자관계가 존재하지 않는다는 확인을 구하고자 합니다. 甲은 친생자관계부존재확인의 소를 제기할 수 있나요?","이와 관련하여 판례는 “가사소송법 제2조에 규정되어 있는 가사소송사건으로 판결을 받게 되어 있는 사항은 친족법 또는 상속법상 중대한 영향을 미치는 것으로 보아 그와 같은 사항에 관하여는 가족관계의 등록 등에 관한 법률 제107조 에 따라 확정판결에 의하여서만 가족관계등록부의 정정신청을 할 수 있고, 가사소송법 제2조에 의하여 판결을 받을 수 없는 사항에 관한 가족관계등록부의 정정은 가족관계의 등록 등에 관한 법률 제104조에 따라 법원의 허가를 얻어 정정을 신청할 수 있는바, 실재하지 아니한 자를 상대로 한 출생신고가 수리되어 가족관계등록부에 기재된 경우 가족관계등록부를 정리하는 것에 관하여는 직접적인 쟁송 방법이 가사소송법은 물론이고 다른 법률이나 대법원규칙에도 정하여진 바가 없을 뿐만 아니라 허무인을 상대로 소를 제기할 수도 없으므로, 이와 같은 사항에 관한 가족관계등록부의 정정은 가족관계의 등록 등에 관한 법률 제104조에 따라 처리할 수밖에 없다”라고 하여 허무인을 상대로 한 친생자 관계 부존재 확인 청구의 소는 부적법하다고 판시한 바 있습니다(부산가정법원 2017. 5. 12. 선고 2016드단211947 판결).따라서 甲은 甲과 丙 사이에, 망 乙과 丙 사이에 각 친생자관계가 부존재한다는 확인을 구하는 소를 제기할 수 없고, 가족관계의 등록 등에 관한 법률 제104조에 따라 가정법원에 가족관계등록부정정을 신청하여야 할 것으로 보입니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,동일인에 대한 허위출생신고에 의하여 이중으로 가족관계등록부가 작성되었고 그 각 등록부에 부모가 각각 다르게 기재 및 기록된 경우에 이를 정리하는방법은,"동일인이 허위의 출생신고에 의하여 이중가족관계등록부상 부모가 각각 다르게 기재 및 기록된 경우에, 법원의 허가에 의한 간이한 정정절차에 의하여 위법한 이중가족관계등록부를 폐쇄한다면 폐쇄된 가족관계등록부상의 친자관계를 사실상 부정하는 결과가 되어 신분관계에 중대한 영향을 미치게 되므로 친자관계에 관한 확정판결에 의하여 이중가족관계등록부를 정리하여야 할 것입니다(가족관계등록선례 제200907-2호).따라서 위와 같은 경우 관할 가정법원에 친생자관계가 존재하지 아니한다는 취지의 친생자관계부존재확인의 소를 제기하여 동 판결이 확정되면 소를 제기한 사람이 판결확정일부터 1개월 이내에 판결등본 및 확정증명서를 첨부하여 사건본인의 등록기준지 또는 정정신청인의 주소지나 현재지의 시(구)·읍·면의 장에게 가족관계등록부정정신청을 하여야 할 것입니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,등록부와 주민등록등록부간 생년월일이 다릅니다. 처리절차는 어떻게 되나요?,"1. 안녕하십니까? 법원행정처 가족관계등록과입니다2. 귀하의 질의 내용은 귀하의 가족관계등록부상 생년월일과 주민등록번호 의 생년월일이 불일치하며 실제 생년월일이 주민등록번호 앞자리 이므로 가족관계등록부상 주민등록번호(생년월일)을 주민등록표상의 주민등록번호로 정정하는 절차에 대하여 문의하시는 것으로 보입니다. 3. 주민등록제도는 주민의 거주관계 등을 등록하여 인구의 동태를 파악하고 주민생활의 편익을 증진시키며 행정사무의 적정한 처리를 도모함을 목적으로 하는 제도(주민등록법 제1조)인 반면 가족관계등록제도는 국민의 출생?혼인?사망 등 가족관계의 발생 및 변동사항에 관한 등록과 그 증명을 통하여 신분관계를 공시?공증하는 제도(가족관계의 등록 등에 관한 법률 제1조)입니다.4. 따라서 국민의 출생년월일에 대한 공시?공증은 가족관계등록부상의 출생년월일에 의하여야 할 것인바, 가족관계등록부와 주민등록표상의 주민등록번호(생년월일 부분)가 불일치할 경우 사안에 따라 아래와 같은 방법이 있을 것입니다.5. 불일치하는 주민등록번호(생년월일)중 가족관계등록부상의 주민등록번호(생년월일)에 따라 주민등록표의 주민등록번호를 정정하고자 하는 경우에는 주민등록관서(동사무소)에 정정신청 함으로써 일치시킬 수 있습니다.(주민등록법 제8조, 제14조)6. 출생당시 출생신고의무자가 현재 주민등록표상 생년월일을 출생의 연월일로 신고하였으나 당시 담당 공무원의 과오로 잘못 기재한 것이 당시 제출된 출생신고서와 그 첨부서면인 출생증명서등에 의하여 명백히 소명된다면 등록관서의 간이직권정정절차에 따라 정정할 수 있습니다(가족관계등록등에관한법률 제18조, 가족관계등록등에관한규칙 제60조) 또한 출생신고에 따라 출생년월일이 바르게 기재 되었다가 이기되는 과정에서 잘못 기재되었음이 전 제적부나 가족관계증명서에 의하여 확인되는 경우에도 간이직권정정절차에 의하여 정정이 가능합니다. 7. 그러나 출생신고서 등이 보존되어 있지 않다면 실제 출생년월일을 충분히 입증할 만한 소명자료에 의하여 사건본인의 등록기준지를 관할하는 가정법원에서 제적부 및 가족관계등록부 정정허가결정을 받아 결정서 등본을 받은 날로부터 1개월 이내에 그 등본을 첨부하여 등록기준지 또는 주소지나 현재지 시(구)?읍?면의 장에게 정정신청을 함으로써 생년월일을 정정할 수 있습니다(가족관계등록등에관한법률 제104조)※ 참고로 2008. 1. 1. 이전 신고서류는 본적지를 관할하는 감독법원(가정법원)에서 보관하였는바, 호적법 시행규칙 제94조(본적지신고서류편철부의 보존기간은 27년)에 따라 귀하의 출생신고서 보존 여부를 확인하시기 바랍니다.8. 아울러 가족관계의 등록 등에 관한 법률 제104조에 의한 제적부 및 가족관계등록부 정정절차와 관련한 문의는 귀하의 등록기준지를 관할하는 가정법원에 하여 주시기 바랍니다. 감사합니다.참고 규정) 1. 가족관계등록부에 기록된 출생연월일의 정정에 관한 사무처리지침 2. 가족관계의 등록 등에 관한 법률 제18조(등록부의 정정) 3. 가족관계의 등록 등에 관한 규칙 제60조(등록부의 정정) 4. 가족관계의 등록 등에 관한 법률 제104조(위법한 가족관계 등록기록의 정정)"
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,등록부정정허가신청절차의 신청인,"가족관계의 등록 등에 관한 법률 제104조에 의한 등록부정정허가신청은 이해관계인이 할 수 있습니다. 이 때 이해관계인이란 사건본인, 신고인, 그 밖에 당해가족관계등록부의 기록에 관하여 신분상 또는 재산상 이해관계를 가진 자를 말합니다. 동법 제105조에 의한 등록부정정허가신청은 신고인 또는 신고사건의 본인이 할 수 있습니다. 다만 미성년자의 경우에는 동법 규칙 제87조 제1항 및 제2항에서 제외하고 있으므로 정정신청 할 수 없습니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,등록부정정허가의 신청인,"가족관계의 등록 등에 관한 법률 제104조에 의한 등록부정정허가신청은 이해관계인이 할 수 있습니다. 이 때 이해관계인이란 사건본인, 신고인, 그 밖에 당해가족관계등록부의 기록에 관하여 신분상 또는 재산상 이해관계를 가진 자를 말합니다"
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,생년월일이 실제와 가족관계등록부상 불일치하는 경우,"가족관계등록부상 출생일자가 잘못 기재된 경우에 출생일자를 정정하려면 먼저 등록기준지 관할법원의 등록부 정정허가를 얻어야 하며, 법원의 허가를 얻은 다음에는 1개월 이내에 허가서등본을 첨부하여 시(구)·읍·면의 장에게 등록부 정정신청을 하여야 합니다(가족관계의 등록 등에 관한 법률 제104조, 106조)."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,성(姓)과 본(本)의 정정,가족관계등록부에 성(姓)과 본(本)이 사실과 달리 기재되어 있는 경우에는 등록기준지를 관할하는 가정법원에 등록부 정정허가신청을 하여 법원의 등록부 정정허가를 받아 성과 본을 동시에 정정하는 신청을 하여 정정할 수 있습니다(가족관계의 등록 등에 관한 법률 제104조).
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,성전환수술을 한 경우 가족관계등록부의 정정이 허용되는지,"구체적인 사안을 심리한 결과 전환된 성이 법률적으로도 그 성전환자의 성이라고 평가될 만큼 성전환자에 해당함이 명백하다고 증명되는 경우에는 여성에서 남성으로의 가족관계등록부정정이 가능할 것으로 보입니다.참고로 판례는, 성전환자가 혼인 중에 있거나 미성년자인 자녀가 있는 경우에는, 가족관계등록부에 기재된 성별을 정정하여, 배우자나 미성년자인 자녀의 법적 지위와 그에 대한 사회적 인식에 곤란을 초래하는 것까지 허용할 수는 없으므로, 현재 혼인 중에 있거나 미성년자인 자녀를 둔 성전환자의 성별정정은 허용되지 않는다고 하였습니다(대법원 2011. 9. 2.자 2009스117 전원합의체 결정)"
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,실재하지 않는 자의 출생신고 정정방법,"「가족관계의 등록 등에 관한 법률」 제104조를 보면, “등록부의 기록이 법률상 허가될 수 없는 것 또는 그 기재에 착오나 누락이 있다고 인정한 때에는 이해관계인은 사건 본인의 등록기준지를 관할하는 가정법원의 허가를 받아 등록부의 정정을 신청할 수 있다.”라고 규정하고 있습니다. 그러므로 실재하지 않은 자의 출생신고를 정정하려면 등록기준지 관할 가정법원에서 가족관계등록부정정허가를 받아 가족관계등록부를 정정하여야 할 수 있습니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,실제생일과 주민등록상 생일이 달라요,"호적부에 기재되어 있는 출생년월일이 출생신고의 잘못 등으로 실제와  달리 기재가 되어 있는 경우에는 사건본인을 비롯한 이해관계인은 호적기재가 사실과 다름을 증명하는 서면을 첨부하여 그 호적이 있는 곳을 관할하는 법원으로부터 호적정정의 허가를 얻어 호적정정신청을 함으로써 호적의 기재를 실제와 같이 정정할 수가 있을 것이나, 어떠한 서면이 그러한 사실을 증명함에 족한 서면인지 여부에 대하여는 당해 재판절차에서 법관이 구체적으로 판단을 할 사항임을 알려드립니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,우리나라의 국적을 소지하지 아니한 사람도 가족관계등록부(제적부)의 정정을 신청할 수 있는지 여부,우리나라의 국적을 소지하지 아니한 사람도 사건본인 또는 재산상·신분상 이해관계가 있는 사람에 해당한다면 등록기준지를 관할하는 가정법원에 가족관계등록부의 정정을 신청할 수 있습니다.
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,이중가족관계등록부를 정리하는 방법,"이중가족관계등록부는 1인 1가족관계등록 편제원칙에 반하여 법률상 허용될 수 없기 때문에 그 정정이 필요합니다. 이 경우 법원의 허가에 의한 가족관계등록부정정은 그 정정할 사항이 경미한 경우에 한하고(가족관계의 등록 등에 관한 법률 제104조), 그 정정할 사항이 친족법상 또는 상속법상 중대한 영향을 미치는 것일 경우에는 법원의 허가에 의한 간이한 정정절차에 의할 수 없고 반드시 확정판결에 의하여서만 정정할 수 있습니다(동법 제107조). 마찬가지로 위법한 이중가족관계등록부를 폐쇄하여 본래의 가족관계등록부로 단일화하기 위한 경우에도 그 정정으로 인하여 신분관계에 중대한 영향을 미치는 사항이 정정되는 경우에는 역시 확정판결에 의하여서만 정정할 수 있다할 것입니다.   사안과 같이 동일인이 허위의 출생신고에 의하여 이중가족관계등록부상 부모가 각각 다르게 기재 및 기록된 경우에, 법원의 허가에 의한 간이한 정정절차에 의하여 위법한 이중가족관계등록부를 폐쇄한다면 폐쇄된 가족관계등록부상의 친자관계를 사실상 부정하는 결과가 되어 신분관계에 중대한 영향을 미치게 되므로 친자관계에 관한 확정판결에 의하여 이중가족관계등록부를 정리하여야 할 것입니다(가족관계등록선례 제200907-2호).   따라서 위와 같은 경우 관할 가정법원에 친생자관계가 존재하지 아니한다는 취지의 친생자관계부존재확인의 소를 제기하여 동 판결이 확정되면 소를 제기한 사람이 판결확정일부터 1개월 이내에 판결등본 및 확정증명서를 첨부하여 사건본인의 등록기준지 또는 정정신청인의 주소지나 현재지의 시(구)·읍·면의 장에게 가족관계등록부정정신청을 하여야 할 것입니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅳ.법원의허가에의한등록부정정,이중으로 출생신고 된 이중가족관계등록부의 등록부 정정절차,가족관계등록부의 기록이 진정한 신분관계와 부합되지 아니한 때에는 법원의 허가를 얻은 후 그 허가재판의 등본을 첨부하여 시(구)·읍·면의 장에게 등록부정정을 신청할 수 있습니다. 이중으로 등록된 가족관계등록부의 정정은 착오된 등록부를 폐쇄하여야 하고 당사자가 임의로 선택할 수는 없습니다(가족관계등록예규 제244호).
